48add958,Emre Belözoğlu,2001-2018,1,TUR,tr,İstanbul Başakşehir FK!F...
26b20735,Massimo Ambrosini,1998-2014,0,ITA,it,Milan!Fiorentina
8ec95452,Alessandro Gamberini,1999-2018,1,ITA,it,Chievo!Fiorentina!Bolog...
ceb6c79d,Walter Samuel,2000-2016,0,ARG,ar,Internazionale!Roma!FC ...
fc4f85b1,Diego Godín,2006-2018,1,URU,uy,Atlético Madrid!Villarre...
438b3a51,Alan Shearer,1992-2006,0,ENG,gb-eng,Newcastle United!Blackbu...
9bcd6455,Jonas,2006-2018,1,BRA,br,Benfica!Valencia!Grêmio...
3e5759b3,Hisato Satō,2001-2017,1,JPN,jp,Sanfrecce Hiroshima!Nago...
322421c2,Christian Abbiati,1998-2016,0,ITA,it,Milan!Torino!Juventus!...
0db918ff,Shay Given,1996-2017,0,IRL,ie,Newcastle United!Manches...
f034613c,Robinho,2003-2015,0,BRA,br,Milan!Real Madrid!Santo...
028d362d,Ludovic Giuly,1999-2013,0,FRA,fr,Monaco!Barcelona!Paris ...
8857991f,Giampiero Pinzi,2000-2017,0,ITA,it,Udinese!Chievo!Brescia
ee013fa5,Jean-François Gillet,2000-2018,1,BEL,be,Bari!Standard Liège!Tor...
f4bbed41,Andoni Iraola,2003-2016,0,ESP,es,Athletic Bilbao!New York...
6ef56efd,Bacary Sagna,2004-2018,1,FRA,fr,Arsenal!Benevento!Auxer...
c281ba3e,Nils-Eric Johansson,2001-2017,1,SWE,se,AIK Fotboll!Blackburn Ro...
3f944dad,Guillaume Gillet,2006-2018,1,BEL,be,Anderlecht!Nantes!Olymp...
